사용월,호선명,지하철역,04시-05시 승차인원,04시-05시 하차인원,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원,01시-02시 승차인원,01시-02시 하차인원,02시-03시 승차인원,02시-03시 하차인원,03시-04시 승차인원,03시-04시 하차인원,작업일자
201805,3호선,도곡,47,1,1368,316,4565,5301,12281,13900,16511,24532,11486,19362,9052,8620,8828,8881,9419,8428,9940,8878,9919,8404,10645,9163,15048,9320,18236,10379,22402,12523,12739,11827,8027,7626,7776,7242,6000,7824,1915,4976,327,3244,3,715,0,0,0,0,20180603
201805,3호선,매봉,33,1,1866,598,6953,9405,18359,20675,22832,70656,16362,34439,13650,15046,14224,13736,13669,12486,15377,12810,16361,12974,18009,13067,20045,14010,29346,17056,58928,22303,27606,18473,16461,11369,17707,9631,12123,10507,4416,6909,478,2088,0,104,0,0,0,0,20180603
201805,3호선,양재(서초구청),165,6,5811,2533,17621,41086,41911,108711,54351,265150,42062,141453,39443,72352,42381,61633,48820,55036,57504,61810,60230,55774,69174,53901,81193,54554,118211,68721,218667,89893,117459,71141,80190,42586,79169,36767,63200,35452,23558,21045,2625,6358,0,95,2,0,0,0,20180603
201805,3호선,남부터미널(예술의전당),43,0,3203,1821,10117,30027,32487,66503,51757,192207,47588,95722,47893,59943,52843,48940,53711,49674,58123,57425,56656,59953,60173,60415,69791,66514,92667,70655,168757,82296,88647,65913,64535,38006,58646,32217,52229,26426,17782,14134,2121,3825,0,3,0,1,0,0,20180603
201805,3호선,교대(법원.검찰청),10,1,1373,791,3692,8080,10401,27291,13509,56475,12236,38650,14142,20932,17419,13905,19225,13946,24215,14812,27256,13769,29219,12598,30618,12737,41568,16633,70494,22459,34349,14690,28340,7265,30795,5844,36881,5590,11622,3599,1753,1298,1,3,0,0,0,0,20180603
201805,3호선,고속터미널,197,3,7837,5230,9795,49507,34691,63471,62147,93233,68049,120893,73132,108869,87859,125068,103978,121609,116595,127500,125758,133690,140738,141786,155530,141429,176660,150257,179599,169085,167704,123915,178555,74695,140367,54597,98365,42277,41547,22767,4120,4523,2,3,0,0,0,0,20180603
201805,3호선,잠원,4,0,1706,908,6540,6617,20265,8258,26369,11220,16508,8400,11410,6766,11333,6581,10300,8022,10508,8895,9673,9204,9497,9906,11334,11506,13897,13193,12685,18962,8785,16801,6083,11436,5042,10647,4106,13035,1383,7053,175,2149,0,9,0,0,0,0,20180603
201805,3호선,신사,107,10,7149,1606,9848,21589,16265,43816,24250,116403,21647,135280,21261,74514,26745,56001,32069,58039,39227,63612,46769,60257,55080,56637,63771,55815,82311,63439,141414,85357,109998,61971,75565,29757,82663,20654,75869,18941,33577,15731,4452,6318,2,45,0,0,0,0,20180603
201805,3호선,압구정,54,3,3852,2140,10071,26786,20013,56787,34116,156860,25834,165940,29390,83198,37020,71964,43420,56969,51375,62400,58872,59148,66759,56390,75651,54700,89156,61234,141276,71812,113740,49188,88226,24532,62447,18700,50310,17128,17629,10539,2072,4325,5,486,0,0,0,0,20180603
201805,3호선,옥수,202,8,3564,955,11123,5290,29970,8737,39216,17756,26875,14059,19377,10915,18522,12310,17049,13630,18774,15876,16305,17106,15929,20297,18172,22824,20314,25651,20525,36599,14813,32861,10659,22576,9974,21060,7388,21470,3340,12308,515,3544,0,0,0,0,0,0,20180603
201805,3호선,금호,33,4,5211,595,12162,3385,30980,5396,45351,8740,29621,8197,18519,7460,16059,7649,14796,9292,14466,10988,12478,12553,11766,14689,12106,17800,13433,21305,13882,31832,9403,27412,7090,18977,5835,17792,4179,18010,2022,10921,340,3261,0,0,0,0,0,0,20180603
201805,3호선,약수,158,4,7319,1358,12871,6476,32277,19134,48289,39886,33107,25831,23328,18093,22406,17384,23514,17472,25069,19579,23113,21204,22846,22826,26032,27200,29055,32308,38572,44665,25261,35665,19562,23929,18880,22812,15186,21729,7083,14440,1178,5933,3,830,0,0,0,0,20180603
201805,3호선,동대입구,52,11,2473,1331,3495,11815,6493,23850,9277,77253,8772,47111,9458,48168,15006,37848,17369,29571,22579,30657,22454,24605,27804,21534,32110,21881,48256,24164,53685,28079,32304,17417,34231,9915,31025,8271,22867,6624,12549,4846,1970,1692,1,122,0,0,0,0,20180603
201805,3호선,충무로,0,0,0,0,0,0,0,0,1,0,2,0,2,0,6,0,7,0,3,0,1,0,4,0,7,0,7,0,9,0,7,0,7,0,6,0,1,0,2,0,1,0,0,0,0,0,0,0,20180603
201805,5호선,까치산,132,0,27765,1542,48495,10972,150196,13121,172541,24293,88836,22997,56180,21171,48406,22196,49322,26430,45708,30755,38226,35992,34624,47195,36587,58822,38116,71042,38096,117119,27072,118354,20250,79523,16902,73607,13565,69035,6916,46793,1021,13274,0,517,0,0,0,0,20180603
201805,5호선,신정(은행정),53,1,13214,1028,26882,5263,78940,10579,91396,17237,44093,11266,25331,8507,21735,8525,21717,10401,19836,13658,16296,13789,14167,18293,16268,22706,17837,28860,19987,45362,12593,44492,7873,29876,6647,28226,5829,27859,2441,19609,301,5484,0,0,0,0,0,0,20180603
201805,5호선,목동,0,0,9034,1641,23800,7671,73363,18932,84502,30996,43644,25388,31491,18991,29518,17682,29070,20080,27307,24740,25482,27069,24565,30191,27178,36026,30666,46823,35740,81070,21961,75217,17643,42782,18565,39228,22779,39136,7342,24963,926,8435,0,0,0,0,0,0,20180603
201805,5호선,오목교(목동운동장앞),3,0,5718,2175,18817,10742,57677,26231,67289,80932,39275,62675,30236,38172,31144,36988,34709,41123,36708,44983,37096,43478,41641,44878,46624,50808,54284,59310,81688,88115,50422,72068,52653,38777,39277,32812,35758,32198,12732,21984,1464,6190,0,0,0,0,0,0,20180603
201805,5호선,양평,4,0,2538,779,6815,3637,21836,8966,25066,37967,11761,15029,8152,6648,7693,6089,8029,6078,8430,6741,7451,6728,8220,7689,8828,8631,12475,10556,30192,17951,11971,16074,7313,9809,5995,9587,4523,9634,1915,6689,239,2037,0,0,0,0,0,0,20180603
201805,5호선,영등포구청,1,0,1063,867,2530,2605,8374,5478,9800,21222,5083,11191,4196,5319,4892,4584,4811,4342,5352,4975,5137,5050,5840,5359,6203,5479,8089,5721,16407,10714,7818,7357,5033,4338,4321,4070,3615,4033,1706,2614,287,627,1,0,0,0,0,0,20180603
201805,3호선,을지로3가,7,1,709,990,1276,8723,2267,32636,4489,77988,7793,41254,9617,20990,11236,18185,11761,16301,15222,16652,17576,14456,18482,14259,19623,13667,29678,13894,63025,15830,35866,10363,20805,5132,19113,4139,14352,3367,7561,2381,1355,672,0,10,0,0,0,0,20180603
